Stage73 stage68_save_dir=/mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage68-worktree/results/stage68/lora_s68_stage48_dump_seed7_46450782
Stage73 raw_dir=/mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage44/raw_setup1_iq
Stage73 python=/mnt/users/xj62kv/OpenSet_Incremental_SEI/.venv/bin/python
Stage73 running t123456 transmissions=1,2,3,4,5,6 strategy=logreg
[066/270] downloaded: Day3 Device1 IQ_6
[085/270] exists: Day3 Device5 IQ_1
[086/270] exists: Day3 Device5 IQ_2
[087/270] exists: Day3 Device5 IQ_3
[088/270] exists: Day3 Device5 IQ_4
[089/270] exists: Day3 Device5 IQ_5
[072/270] downloaded: Day3 Device2 IQ_6
[091/270] exists: Day3 Device6 IQ_1
[092/270] exists: Day3 Device6 IQ_2
[093/270] exists: Day3 Device6 IQ_3
[094/270] exists: Day3 Device6 IQ_4
[095/270] exists: Day3 Device6 IQ_5
[078/270] downloaded: Day3 Device3 IQ_6
[097/270] exists: Day3 Device7 IQ_1
[098/270] exists: Day3 Device7 IQ_2
[099/270] exists: Day3 Device7 IQ_3
[100/270] exists: Day3 Device7 IQ_4
[101/270] exists: Day3 Device7 IQ_5
[084/270] downloaded: Day3 Device4 IQ_6
[103/270] exists: Day3 Device8 IQ_1
[104/270] exists: Day3 Device8 IQ_2
[105/270] exists: Day3 Device8 IQ_3
[106/270] exists: Day3 Device8 IQ_4
[107/270] exists: Day3 Device8 IQ_5
[090/270] downloaded: Day3 Device5 IQ_6
[109/270] exists: Day3 Device10 IQ_1
[110/270] exists: Day3 Device10 IQ_2
[111/270] exists: Day3 Device10 IQ_3
[112/270] exists: Day3 Device10 IQ_4
[113/270] exists: Day3 Device10 IQ_5
[096/270] downloaded: Day3 Device6 IQ_6
[115/270] exists: Day3 Device11 IQ_1
[116/270] exists: Day3 Device11 IQ_2
[117/270] exists: Day3 Device11 IQ_3
[118/270] exists: Day3 Device11 IQ_4
[119/270] exists: Day3 Device11 IQ_5
[102/270] downloaded: Day3 Device7 IQ_6
[121/270] exists: Day3 Device12 IQ_1
[122/270] exists: Day3 Device12 IQ_2
[123/270] exists: Day3 Device12 IQ_3
[124/270] exists: Day3 Device12 IQ_4
[125/270] exists: Day3 Device12 IQ_5
[108/270] downloaded: Day3 Device8 IQ_6
[127/270] exists: Day3 Device13 IQ_1
[128/270] exists: Day3 Device13 IQ_2
[129/270] exists: Day3 Device13 IQ_3
[130/270] exists: Day3 Device13 IQ_4
[131/270] exists: Day3 Device13 IQ_5
[120/270] downloaded: Day3 Device11 IQ_6
[133/270] exists: Day3 Device14 IQ_1
[134/270] exists: Day3 Device14 IQ_2
[135/270] exists: Day3 Device14 IQ_3
[136/270] exists: Day3 Device14 IQ_4
[137/270] exists: Day3 Device14 IQ_5
[114/270] downloaded: Day3 Device10 IQ_6
[139/270] exists: Day3 Device15 IQ_1
[140/270] exists: Day3 Device15 IQ_2
[141/270] exists: Day3 Device15 IQ_3
[142/270] exists: Day3 Device15 IQ_4
[143/270] exists: Day3 Device15 IQ_5
[126/270] downloaded: Day3 Device12 IQ_6
[145/270] exists: Day3 Device16 IQ_1
[146/270] exists: Day3 Device16 IQ_2
[147/270] exists: Day3 Device16 IQ_3
[148/270] exists: Day3 Device16 IQ_4
[149/270] exists: Day3 Device16 IQ_5
[132/270] downloaded: Day3 Device13 IQ_6
[151/270] exists: Day4 Device1 IQ_1
[152/270] exists: Day4 Device1 IQ_2
[153/270] exists: Day4 Device1 IQ_3
[154/270] exists: Day4 Device1 IQ_4
[155/270] exists: Day4 Device1 IQ_5
[138/270] downloaded: Day3 Device14 IQ_6
[157/270] exists: Day4 Device2 IQ_1
[158/270] exists: Day4 Device2 IQ_2
[159/270] exists: Day4 Device2 IQ_3
[160/270] exists: Day4 Device2 IQ_4
[161/270] exists: Day4 Device2 IQ_5
[144/270] downloaded: Day3 Device15 IQ_6
[163/270] exists: Day4 Device3 IQ_1
[164/270] exists: Day4 Device3 IQ_2
[165/270] exists: Day4 Device3 IQ_3
[166/270] exists: Day4 Device3 IQ_4
[167/270] exists: Day4 Device3 IQ_5
[150/270] downloaded: Day3 Device16 IQ_6
[169/270] exists: Day4 Device4 IQ_1
[170/270] exists: Day4 Device4 IQ_2
[171/270] exists: Day4 Device4 IQ_3
[172/270] exists: Day4 Device4 IQ_4
[173/270] exists: Day4 Device4 IQ_5
[156/270] downloaded: Day4 Device1 IQ_6
[175/270] exists: Day4 Device5 IQ_1
[176/270] exists: Day4 Device5 IQ_2
[177/270] exists: Day4 Device5 IQ_3
[178/270] exists: Day4 Device5 IQ_4
[179/270] exists: Day4 Device5 IQ_5
[162/270] downloaded: Day4 Device2 IQ_6
[181/270] exists: Day4 Device6 IQ_1
[182/270] exists: Day4 Device6 IQ_2
[183/270] exists: Day4 Device6 IQ_3
[184/270] exists: Day4 Device6 IQ_4
[185/270] exists: Day4 Device6 IQ_5
[168/270] downloaded: Day4 Device3 IQ_6
[187/270] exists: Day4 Device7 IQ_1
[188/270] exists: Day4 Device7 IQ_2
[189/270] exists: Day4 Device7 IQ_3
[190/270] exists: Day4 Device7 IQ_4
[191/270] exists: Day4 Device7 IQ_5
[174/270] downloaded: Day4 Device4 IQ_6
[193/270] exists: Day4 Device8 IQ_1
[194/270] exists: Day4 Device8 IQ_2
[195/270] exists: Day4 Device8 IQ_3
[196/270] exists: Day4 Device8 IQ_4
[197/270] exists: Day4 Device8 IQ_5
[180/270] downloaded: Day4 Device5 IQ_6
[199/270] exists: Day4 Device10 IQ_1
[200/270] exists: Day4 Device10 IQ_2
[201/270] exists: Day4 Device10 IQ_3
[202/270] exists: Day4 Device10 IQ_4
[203/270] exists: Day4 Device10 IQ_5
[186/270] downloaded: Day4 Device6 IQ_6
[205/270] exists: Day4 Device11 IQ_1
[206/270] exists: Day4 Device11 IQ_2
[207/270] exists: Day4 Device11 IQ_3
[208/270] exists: Day4 Device11 IQ_4
[209/270] exists: Day4 Device11 IQ_5
[192/270] downloaded: Day4 Device7 IQ_6
[211/270] exists: Day4 Device12 IQ_1
[212/270] exists: Day4 Device12 IQ_2
[213/270] exists: Day4 Device12 IQ_3
[214/270] exists: Day4 Device12 IQ_4
[215/270] exists: Day4 Device12 IQ_5
[198/270] downloaded: Day4 Device8 IQ_6
[217/270] exists: Day4 Device13 IQ_1
[218/270] exists: Day4 Device13 IQ_2
[219/270] exists: Day4 Device13 IQ_3
[220/270] exists: Day4 Device13 IQ_4
[221/270] exists: Day4 Device13 IQ_5
[204/270] downloaded: Day4 Device10 IQ_6
[223/270] exists: Day4 Device14 IQ_1
[224/270] exists: Day4 Device14 IQ_2
[225/270] exists: Day4 Device14 IQ_3
[226/270] exists: Day4 Device14 IQ_4
[227/270] exists: Day4 Device14 IQ_5
[210/270] downloaded: Day4 Device11 IQ_6
[229/270] exists: Day4 Device15 IQ_1
[230/270] exists: Day4 Device15 IQ_2
[231/270] exists: Day4 Device15 IQ_3
[232/270] exists: Day4 Device15 IQ_4
[233/270] exists: Day4 Device15 IQ_5
[216/270] downloaded: Day4 Device12 IQ_6
[235/270] exists: Day4 Device16 IQ_1
[236/270] exists: Day4 Device16 IQ_2
[237/270] exists: Day4 Device16 IQ_3
[238/270] exists: Day4 Device16 IQ_4
[239/270] exists: Day4 Device16 IQ_5
[222/270] downloaded: Day4 Device13 IQ_6
[241/270] exists: Day4 Device17 IQ_1
[242/270] exists: Day4 Device17 IQ_2
[243/270] exists: Day4 Device17 IQ_3
[244/270] exists: Day4 Device17 IQ_4
[245/270] exists: Day4 Device17 IQ_5
[228/270] downloaded: Day4 Device14 IQ_6
[247/270] exists: Day4 Device18 IQ_1
[248/270] exists: Day4 Device18 IQ_2
[249/270] exists: Day4 Device18 IQ_3
[250/270] exists: Day4 Device18 IQ_4
[251/270] exists: Day4 Device18 IQ_5
[234/270] downloaded: Day4 Device15 IQ_6
[253/270] exists: Day4 Device19 IQ_1
[254/270] exists: Day4 Device19 IQ_2
[255/270] exists: Day4 Device19 IQ_3
[256/270] exists: Day4 Device19 IQ_4
[257/270] exists: Day4 Device19 IQ_5
[240/270] downloaded: Day4 Device16 IQ_6
[259/270] exists: Day4 Device20 IQ_1
[260/270] exists: Day4 Device20 IQ_2
[261/270] exists: Day4 Device20 IQ_3
[262/270] exists: Day4 Device20 IQ_4
[263/270] exists: Day4 Device20 IQ_5
[246/270] downloaded: Day4 Device17 IQ_6
[265/270] exists: Day4 Device21 IQ_1
[252/270] downloaded: Day4 Device18 IQ_6
[266/270] exists: Day4 Device21 IQ_2
[267/270] exists: Day4 Device21 IQ_3
[268/270] exists: Day4 Device21 IQ_4
[269/270] exists: Day4 Device21 IQ_5
[258/270] downloaded: Day4 Device19 IQ_6
[264/270] downloaded: Day4 Device20 IQ_6
[270/270] downloaded: Day4 Device21 IQ_6
Saved manifest: /mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage68-worktree/results/stage73/stage73_lora_old_day_logreg_extended_download_manifest_t123456_46491367.json
Wrote results/stage73/STAGE73_LORA_OLD_DAY_LOGREG_EXTENDED_CALIBRATION_t123456_SEED7_REPORT_46491367.md
Stage73 running t1234567 transmissions=1,2,3,4,5,6,7 strategy=logreg
[003/315] exists: Day2 Device1 IQ_3
[002/315] exists: Day2 Device1 IQ_2
[004/315] exists: Day2 Device1 IQ_4
[001/315] exists: Day2 Device1 IQ_1
[005/315] exists: Day2 Device1 IQ_5
[006/315] exists: Day2 Device1 IQ_6
[008/315] exists: Day2 Device2 IQ_1
[010/315] exists: Day2 Device2 IQ_3
[009/315] exists: Day2 Device2 IQ_2
[011/315] exists: Day2 Device2 IQ_4
[013/315] exists: Day2 Device2 IQ_6
[012/315] exists: Day2 Device2 IQ_5
[015/315] exists: Day2 Device3 IQ_1
[016/315] exists: Day2 Device3 IQ_2
[018/315] exists: Day2 Device3 IQ_4
[017/315] exists: Day2 Device3 IQ_3
[020/315] exists: Day2 Device3 IQ_6
[019/315] exists: Day2 Device3 IQ_5
[022/315] exists: Day2 Device4 IQ_1
[023/315] exists: Day2 Device4 IQ_2
[024/315] exists: Day2 Device4 IQ_3
[025/315] exists: Day2 Device4 IQ_4
[026/315] exists: Day2 Device4 IQ_5
[027/315] exists: Day2 Device4 IQ_6
[007/315] downloaded: Day2 Device1 IQ_7
[029/315] exists: Day2 Device5 IQ_1
[030/315] exists: Day2 Device5 IQ_2
[021/315] downloaded: Day2 Device3 IQ_7
[014/315] downloaded: Day2 Device2 IQ_7
[031/315] exists: Day2 Device5 IQ_3
[032/315] exists: Day2 Device5 IQ_4
[034/315] exists: Day2 Device5 IQ_6
[033/315] exists: Day2 Device5 IQ_5
[037/315] exists: Day2 Device6 IQ_2
[036/315] exists: Day2 Device6 IQ_1
[038/315] exists: Day2 Device6 IQ_3
[039/315] exists: Day2 Device6 IQ_4
[040/315] exists: Day2 Device6 IQ_5
[041/315] exists: Day2 Device6 IQ_6
[043/315] exists: Day2 Device7 IQ_1
[028/315] downloaded: Day2 Device4 IQ_7
[044/315] exists: Day2 Device7 IQ_2
[045/315] exists: Day2 Device7 IQ_3
[046/315] exists: Day2 Device7 IQ_4
[047/315] exists: Day2 Device7 IQ_5
[048/315] exists: Day2 Device7 IQ_6
[050/315] exists: Day2 Device8 IQ_1
[051/315] exists: Day2 Device8 IQ_2
[052/315] exists: Day2 Device8 IQ_3
[053/315] exists: Day2 Device8 IQ_4
[054/315] exists: Day2 Device8 IQ_5
[055/315] exists: Day2 Device8 IQ_6
[035/315] downloaded: Day2 Device5 IQ_7
[057/315] exists: Day2 Device10 IQ_1
[058/315] exists: Day2 Device10 IQ_2
[042/315] downloaded: Day2 Device6 IQ_7
[059/315] exists: Day2 Device10 IQ_3
[060/315] exists: Day2 Device10 IQ_4
[061/315] exists: Day2 Device10 IQ_5
[062/315] exists: Day2 Device10 IQ_6
[064/315] exists: Day2 Device11 IQ_1
[065/315] exists: Day2 Device11 IQ_2
[066/315] exists: Day2 Device11 IQ_3
[067/315] exists: Day2 Device11 IQ_4
[068/315] exists: Day2 Device11 IQ_5
[069/315] exists: Day2 Device11 IQ_6
[049/315] downloaded: Day2 Device7 IQ_7
[071/315] exists: Day3 Device1 IQ_1
[072/315] exists: Day3 Device1 IQ_2
[073/315] exists: Day3 Device1 IQ_3
[074/315] exists: Day3 Device1 IQ_4
[075/315] exists: Day3 Device1 IQ_5
[076/315] exists: Day3 Device1 IQ_6
[056/315] downloaded: Day2 Device8 IQ_7
[078/315] exists: Day3 Device2 IQ_1
[079/315] exists: Day3 Device2 IQ_2
[080/315] exists: Day3 Device2 IQ_3
[081/315] exists: Day3 Device2 IQ_4
[082/315] exists: Day3 Device2 IQ_5
[083/315] exists: Day3 Device2 IQ_6
[063/315] downloaded: Day2 Device10 IQ_7
[085/315] exists: Day3 Device3 IQ_1
[086/315] exists: Day3 Device3 IQ_2
[070/315] downloaded: Day2 Device11 IQ_7
[087/315] exists: Day3 Device3 IQ_3
[088/315] exists: Day3 Device3 IQ_4
[089/315] exists: Day3 Device3 IQ_5
[090/315] exists: Day3 Device3 IQ_6
[092/315] exists: Day3 Device4 IQ_1
[093/315] exists: Day3 Device4 IQ_2
[094/315] exists: Day3 Device4 IQ_3
[095/315] exists: Day3 Device4 IQ_4
[096/315] exists: Day3 Device4 IQ_5
[097/315] exists: Day3 Device4 IQ_6
[084/315] downloaded: Day3 Device2 IQ_7
[099/315] exists: Day3 Device5 IQ_1
[100/315] exists: Day3 Device5 IQ_2
[101/315] exists: Day3 Device5 IQ_3
[102/315] exists: Day3 Device5 IQ_4
[103/315] exists: Day3 Device5 IQ_5
[104/315] exists: Day3 Device5 IQ_6
[077/315] downloaded: Day3 Device1 IQ_7
[106/315] exists: Day3 Device6 IQ_1
[107/315] exists: Day3 Device6 IQ_2
[108/315] exists: Day3 Device6 IQ_3
[109/315] exists: Day3 Device6 IQ_4
[110/315] exists: Day3 Device6 IQ_5
[111/315] exists: Day3 Device6 IQ_6
[091/315] downloaded: Day3 Device3 IQ_7
[113/315] exists: Day3 Device7 IQ_1
[114/315] exists: Day3 Device7 IQ_2
[115/315] exists: Day3 Device7 IQ_3
[098/315] downloaded: Day3 Device4 IQ_7
[116/315] exists: Day3 Device7 IQ_4
[117/315] exists: Day3 Device7 IQ_5
[118/315] exists: Day3 Device7 IQ_6
[120/315] exists: Day3 Device8 IQ_1
[121/315] exists: Day3 Device8 IQ_2
[122/315] exists: Day3 Device8 IQ_3
[123/315] exists: Day3 Device8 IQ_4
[124/315] exists: Day3 Device8 IQ_5
[125/315] exists: Day3 Device8 IQ_6
[105/315] downloaded: Day3 Device5 IQ_7
[127/315] exists: Day3 Device10 IQ_1
[128/315] exists: Day3 Device10 IQ_2
[129/315] exists: Day3 Device10 IQ_3
[130/315] exists: Day3 Device10 IQ_4
[131/315] exists: Day3 Device10 IQ_5
[132/315] exists: Day3 Device10 IQ_6
[112/315] downloaded: Day3 Device6 IQ_7
[134/315] exists: Day3 Device11 IQ_1
[135/315] exists: Day3 Device11 IQ_2
[136/315] exists: Day3 Device11 IQ_3
[137/315] exists: Day3 Device11 IQ_4
[138/315] exists: Day3 Device11 IQ_5
[139/315] exists: Day3 Device11 IQ_6
[119/315] downloaded: Day3 Device7 IQ_7
[141/315] exists: Day3 Device12 IQ_1
[142/315] exists: Day3 Device12 IQ_2
[143/315] exists: Day3 Device12 IQ_3
[144/315] exists: Day3 Device12 IQ_4
[126/315] downloaded: Day3 Device8 IQ_7
[145/315] exists: Day3 Device12 IQ_5
[146/315] exists: Day3 Device12 IQ_6
[148/315] exists: Day3 Device13 IQ_1
[149/315] exists: Day3 Device13 IQ_2
[150/315] exists: Day3 Device13 IQ_3
[151/315] exists: Day3 Device13 IQ_4
[152/315] exists: Day3 Device13 IQ_5
[153/315] exists: Day3 Device13 IQ_6
[133/315] downloaded: Day3 Device10 IQ_7
[155/315] exists: Day3 Device14 IQ_1
[156/315] exists: Day3 Device14 IQ_2
[157/315] exists: Day3 Device14 IQ_3
[158/315] exists: Day3 Device14 IQ_4
[159/315] exists: Day3 Device14 IQ_5
[160/315] exists: Day3 Device14 IQ_6
[140/315] downloaded: Day3 Device11 IQ_7
[162/315] exists: Day3 Device15 IQ_1
[163/315] exists: Day3 Device15 IQ_2
[164/315] exists: Day3 Device15 IQ_3
[165/315] exists: Day3 Device15 IQ_4
[166/315] exists: Day3 Device15 IQ_5
[167/315] exists: Day3 Device15 IQ_6
[147/315] downloaded: Day3 Device12 IQ_7
[169/315] exists: Day3 Device16 IQ_1
[170/315] exists: Day3 Device16 IQ_2
[171/315] exists: Day3 Device16 IQ_3
[172/315] exists: Day3 Device16 IQ_4
[173/315] exists: Day3 Device16 IQ_5
[174/315] exists: Day3 Device16 IQ_6
[154/315] downloaded: Day3 Device13 IQ_7
[176/315] exists: Day4 Device1 IQ_1
[177/315] exists: Day4 Device1 IQ_2
[178/315] exists: Day4 Device1 IQ_3
[179/315] exists: Day4 Device1 IQ_4
[180/315] exists: Day4 Device1 IQ_5
[181/315] exists: Day4 Device1 IQ_6
[161/315] downloaded: Day3 Device14 IQ_7
[183/315] exists: Day4 Device2 IQ_1
[184/315] exists: Day4 Device2 IQ_2
[185/315] exists: Day4 Device2 IQ_3
[186/315] exists: Day4 Device2 IQ_4
[187/315] exists: Day4 Device2 IQ_5
[188/315] exists: Day4 Device2 IQ_6
[168/315] downloaded: Day3 Device15 IQ_7
[190/315] exists: Day4 Device3 IQ_1
[191/315] exists: Day4 Device3 IQ_2
[192/315] exists: Day4 Device3 IQ_3
[193/315] exists: Day4 Device3 IQ_4
[194/315] exists: Day4 Device3 IQ_5
[195/315] exists: Day4 Device3 IQ_6
[182/315] downloaded: Day4 Device1 IQ_7
[197/315] exists: Day4 Device4 IQ_1
[198/315] exists: Day4 Device4 IQ_2
[199/315] exists: Day4 Device4 IQ_3
[175/315] downloaded: Day3 Device16 IQ_7
[200/315] exists: Day4 Device4 IQ_4
[201/315] exists: Day4 Device4 IQ_5
[202/315] exists: Day4 Device4 IQ_6
[204/315] exists: Day4 Device5 IQ_1
[205/315] exists: Day4 Device5 IQ_2
[206/315] exists: Day4 Device5 IQ_3
[207/315] exists: Day4 Device5 IQ_4
[208/315] exists: Day4 Device5 IQ_5
[209/315] exists: Day4 Device5 IQ_6
[189/315] downloaded: Day4 Device2 IQ_7
[211/315] exists: Day4 Device6 IQ_1
[212/315] exists: Day4 Device6 IQ_2
[213/315] exists: Day4 Device6 IQ_3
[214/315] exists: Day4 Device6 IQ_4
[215/315] exists: Day4 Device6 IQ_5
[216/315] exists: Day4 Device6 IQ_6
[196/315] downloaded: Day4 Device3 IQ_7
[218/315] exists: Day4 Device7 IQ_1
[219/315] exists: Day4 Device7 IQ_2
[220/315] exists: Day4 Device7 IQ_3
[221/315] exists: Day4 Device7 IQ_4
[222/315] exists: Day4 Device7 IQ_5
[223/315] exists: Day4 Device7 IQ_6
[203/315] downloaded: Day4 Device4 IQ_7
[225/315] exists: Day4 Device8 IQ_1
[226/315] exists: Day4 Device8 IQ_2
[227/315] exists: Day4 Device8 IQ_3
[210/315] downloaded: Day4 Device5 IQ_7
[228/315] exists: Day4 Device8 IQ_4
[229/315] exists: Day4 Device8 IQ_5
[230/315] exists: Day4 Device8 IQ_6
[232/315] exists: Day4 Device10 IQ_1
[233/315] exists: Day4 Device10 IQ_2
[234/315] exists: Day4 Device10 IQ_3
[235/315] exists: Day4 Device10 IQ_4
[236/315] exists: Day4 Device10 IQ_5
[237/315] exists: Day4 Device10 IQ_6
[217/315] downloaded: Day4 Device6 IQ_7
[239/315] exists: Day4 Device11 IQ_1
[240/315] exists: Day4 Device11 IQ_2
[241/315] exists: Day4 Device11 IQ_3
[242/315] exists: Day4 Device11 IQ_4
[243/315] exists: Day4 Device11 IQ_5
[244/315] exists: Day4 Device11 IQ_6
[224/315] downloaded: Day4 Device7 IQ_7
[246/315] exists: Day4 Device12 IQ_1
[247/315] exists: Day4 Device12 IQ_2
[248/315] exists: Day4 Device12 IQ_3
[249/315] exists: Day4 Device12 IQ_4
[250/315] exists: Day4 Device12 IQ_5
[251/315] exists: Day4 Device12 IQ_6
[231/315] downloaded: Day4 Device8 IQ_7
[253/315] exists: Day4 Device13 IQ_1
[254/315] exists: Day4 Device13 IQ_2
[255/315] exists: Day4 Device13 IQ_3
[256/315] exists: Day4 Device13 IQ_4
[257/315] exists: Day4 Device13 IQ_5
[258/315] exists: Day4 Device13 IQ_6
[238/315] downloaded: Day4 Device10 IQ_7
[260/315] exists: Day4 Device14 IQ_1
[261/315] exists: Day4 Device14 IQ_2
[262/315] exists: Day4 Device14 IQ_3
[263/315] exists: Day4 Device14 IQ_4
[264/315] exists: Day4 Device14 IQ_5
[245/315] downloaded: Day4 Device11 IQ_7
[265/315] exists: Day4 Device14 IQ_6
[267/315] exists: Day4 Device15 IQ_1
[268/315] exists: Day4 Device15 IQ_2
[269/315] exists: Day4 Device15 IQ_3
[270/315] exists: Day4 Device15 IQ_4
[271/315] exists: Day4 Device15 IQ_5
[272/315] exists: Day4 Device15 IQ_6
[252/315] downloaded: Day4 Device12 IQ_7
[274/315] exists: Day4 Device16 IQ_1
[275/315] exists: Day4 Device16 IQ_2
[276/315] exists: Day4 Device16 IQ_3
[277/315] exists: Day4 Device16 IQ_4
[278/315] exists: Day4 Device16 IQ_5
[279/315] exists: Day4 Device16 IQ_6
[259/315] downloaded: Day4 Device13 IQ_7
[281/315] exists: Day4 Device17 IQ_1
[282/315] exists: Day4 Device17 IQ_2
[283/315] exists: Day4 Device17 IQ_3
[284/315] exists: Day4 Device17 IQ_4
[285/315] exists: Day4 Device17 IQ_5
[286/315] exists: Day4 Device17 IQ_6
[266/315] downloaded: Day4 Device14 IQ_7
[288/315] exists: Day4 Device18 IQ_1
[289/315] exists: Day4 Device18 IQ_2
[290/315] exists: Day4 Device18 IQ_3
[273/315] downloaded: Day4 Device15 IQ_7
[291/315] exists: Day4 Device18 IQ_4
[292/315] exists: Day4 Device18 IQ_5
[293/315] exists: Day4 Device18 IQ_6
[295/315] exists: Day4 Device19 IQ_1
[296/315] exists: Day4 Device19 IQ_2
[297/315] exists: Day4 Device19 IQ_3
[298/315] exists: Day4 Device19 IQ_4
[299/315] exists: Day4 Device19 IQ_5
[300/315] exists: Day4 Device19 IQ_6
[280/315] downloaded: Day4 Device16 IQ_7
[302/315] exists: Day4 Device20 IQ_1
[303/315] exists: Day4 Device20 IQ_2
[304/315] exists: Day4 Device20 IQ_3
[305/315] exists: Day4 Device20 IQ_4
[306/315] exists: Day4 Device20 IQ_5
[307/315] exists: Day4 Device20 IQ_6
[287/315] downloaded: Day4 Device17 IQ_7
[309/315] exists: Day4 Device21 IQ_1
[310/315] exists: Day4 Device21 IQ_2
[311/315] exists: Day4 Device21 IQ_3
[312/315] exists: Day4 Device21 IQ_4
[313/315] exists: Day4 Device21 IQ_5
[294/315] downloaded: Day4 Device18 IQ_7
[314/315] exists: Day4 Device21 IQ_6
[301/315] downloaded: Day4 Device19 IQ_7
[308/315] downloaded: Day4 Device20 IQ_7
[315/315] downloaded: Day4 Device21 IQ_7
Saved manifest: /mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage68-worktree/results/stage73/stage73_lora_old_day_logreg_extended_download_manifest_t1234567_46491367.json
Wrote results/stage73/STAGE73_LORA_OLD_DAY_LOGREG_EXTENDED_CALIBRATION_t1234567_SEED7_REPORT_46491367.md
