x,y,true_label,cluster_label
-1.3634477,-9.026929,14,4
6.9216332,-31.954971,14,4
-4.82382,-11.258613,14,4
-14.141208,41.039726,15,6
-21.200874,17.49948,15,6
-15.903028,40.54052,15,6
-16.469172,41.0114,15,6
-22.182999,19.774662,15,6
-22.278543,19.786573,15,6
-17.223227,43.518944,15,6
-20.478106,17.726866,15,6
-10.42745,9.21016,15,6
-16.536867,26.796997,15,6
-21.83942,18.768341,15,6
-8.419049,9.595957,15,6
-11.221502,8.988436,15,6
-20.441265,17.727898,15,6
-23.139597,20.044035,15,6
-17.176212,45.41572,15,6
-19.98266,21.796827,15,6
-15.521802,26.995045,15,6
-15.728995,40.263947,15,6
-20.021643,21.739172,15,6
-11.899196,8.94384,15,6
-16.585505,41.80718,15,6
-13.924505,40.86995,15,6
-16.87809,42.454372,15,6
-9.746054,9.392808,15,6
-21.736778,17.01292,15,6
-13.892039,42.024014,15,6
-9.13876,9.782775,15,6
-15.61776,26.601316,15,6
-17.336592,45.02885,15,6
-17.406527,45.57476,15,6
-16.459698,26.241787,15,6
-8.692178,10.480479,15,6
-16.259373,25.870129,15,6
-7.981099,10.070845,15,6
43.62003,-7.986791,16,7
22.58825,-7.2855086,16,7
47.243317,-9.20267,16,7
14.772239,4.964639,16,8
42.844803,-7.688924,16,7
40.474155,-6.181997,16,7
17.949228,-4.048553,16,7
41.086864,-7.079831,16,7
47.270565,-8.047999,16,7
47.254086,-8.465358,16,7
14.680639,4.2108264,16,7
40.750656,-6.0783906,16,7
40.481716,-7.0994816,16,7
28.22503,-7.435472,16,7
20.46772,-6.309411,16,7
44.658466,-7.997627,16,7
35.29638,-6.944142,16,7
29.589611,-6.516968,16,7
22.341188,-7.2694383,16,7
17.92614,-4.1974745,16,7
28.676273,-7.3389955,16,7
40.791862,-4.6554666,16,7
29.785387,-7.3417273,16,7
34.90596,-7.401244,16,7
30.211308,-7.16233,16,7
38.389767,-6.40262,16,7
15.909032,5.490471,16,8
21.605024,-6.991771,16,7
32.256084,-7.131464,16,7
21.075647,-6.673506,16,7
42.92167,-7.7034597,16,7
20.057203,-6.082422,16,7
34.65489,-7.138287,16,7
33.46143,-7.130075,16,7
47.171246,-9.614341,16,7
69.415726,10.793132,17,9
66.003,12.832019,17,9
6.3752007,63.144707,17,9
56.104603,26.749609,17,9
0.746356,65.16009,17,9
5.6712494,63.522316,17,9
59.102703,22.663689,17,9
67.652916,9.744651,17,9
6.6947365,63.13915,17,9
1.4012896,64.886246,17,9
69.54594,9.929385,17,9
56.823116,25.831814,17,9
66.77226,11.896452,17,9
1.1460181,64.98542,17,9
69.50452,9.284677,17,9
57.39403,24.999031,17,9
4.8098454,63.919,17,9
3.9124143,63.964638,17,9
69.82973,8.790341,17,9
58.45178,23.522911,17,9
67.56294,11.003552,17,9
66.92627,12.731777,17,9
4.4960713,63.374683,17,9
67.423904,10.748893,17,9
0.095483586,65.46481,17,9
8.583649,62.233067,17,9
57.928326,24.247952,17,9
7.371196,63.451637,17,9
66.35073,13.447293,17,9
9.670868,62.336014,17,9
57.051403,25.490173,17,9
56.022655,27.149473,17,9
59.278156,22.381517,17,9
8.487392,62.228138,17,9
55.649746,27.513048,17,9
-46.877735,26.35277,18,0
-42.335728,31.126385,18,0
-39.967556,35.24428,18,0
-56.55067,8.792997,18,0
-55.494446,9.550786,18,0
-38.81536,37.060104,18,0
-57.88762,8.041921,18,0
-58.182228,7.487601,18,0
-41.53926,30.534569,18,0
-54.473545,10.178894,18,0
-61.67031,5.7619696,18,0
-61.280624,5.7928395,18,0
-39.174732,37.394936,18,0
-56.877846,8.207538,18,0
-54.726368,10.190812,18,0
-62.357746,6.1932826,18,0
-43.803143,29.586401,18,0
-58.69188,7.6469693,18,0
-37.82104,36.774174,18,0
-48.5812,24.564617,18,0
-39.34016,36.625072,18,0
-47.768677,25.085691,18,0
-48.07825,24.384657,18,0
-62.316277,5.002799,18,0
-39.499172,35.567234,18,0
-41.663273,31.984327,18,0
-61.66763,5.1862864,18,0
-41.751274,31.207273,18,0
-47.13818,26.048128,18,0
-48.38008,25.128397,18,0
-40.355297,34.483513,18,0
-54.086224,10.998479,18,0
-41.404144,32.55645,18,0
-43.475746,29.910723,18,0
-60.00362,6.6332927,18,0
-29.091167,-7.74423,19,1
-47.632687,-18.960697,19,1
-28.98465,-8.96255,19,1
-39.48118,-12.546281,19,1
-37.984077,-11.603645,19,1
-50.19564,-23.416454,19,1
-49.70786,-20.235586,19,1
-46.822098,-18.171713,19,1
-29.666956,-7.9129033,19,1
-36.77986,-11.757039,19,1
-49.170464,-20.303513,19,1
-49.81024,-23.218405,19,1
-28.498247,-8.675517,19,1
-28.937286,-6.914698,19,1
-28.187628,-6.908767,19,1
-38.34052,-10.675027,19,1
-24.901297,-7.804163,19,1
-49.863594,-23.750196,19,1
-24.189781,-7.8573823,19,1
-39.49174,-12.898217,19,1
-38.600437,-12.440266,19,1
-50.529926,-19.497154,19,1
-32.124622,-9.350373,19,1
-22.559053,-8.506146,19,1
-52.412487,-19.706688,19,1
-53.02917,-19.659098,19,1
-35.372677,-11.918012,19,1
-52.26837,-19.42503,19,1
-36.0468,-10.470504,19,1
-48.06212,-19.379318,19,1
-31.836727,-9.2357435,19,1
-27.214645,-6.6431613,19,1
-35.572853,-11.0065975,19,1
-23.459929,-8.048733,19,1
-50.788586,-23.920885,19,1
