stage,day,device,label,transmission,samples,symbol_offset,alignment_score
after_r3,4,11,9,1,28,88,0.12957610934972763
after_r3,4,11,9,2,28,471,0.11245084181427956
after_r3,4,11,9,3,28,561,0.11656889505684376
after_r3,4,12,10,1,28,633,0.14879293739795685
after_r3,4,12,10,2,28,274,0.10437057726085186
after_r3,4,12,10,3,28,960,0.1060740314424038
after_r3,4,13,11,1,28,757,0.10184195823967457
after_r3,4,13,11,2,28,813,0.12567195482552052
after_r3,4,13,11,3,28,27,0.116303451359272
after_r3,4,14,12,1,28,948,0.12886768393218517
after_r3,4,14,12,2,28,226,0.10977020487189293
after_r3,4,14,12,3,28,12,0.11347541771829128
after_r3,4,15,13,1,28,452,0.14198787696659565
after_r3,4,15,13,2,28,586,0.004563643946312368
after_r3,4,15,13,3,28,212,0.2057531177997589
after_r3,4,16,14,1,28,990,0.14217067323625088
after_r3,4,16,14,2,28,137,0.1386676263064146
after_r3,4,16,14,3,28,522,0.13484271988272667
after_r3,4,17,15,1,28,491,0.10442314110696316
after_r3,4,17,15,2,28,914,0.11393496580421925
after_r3,4,17,15,3,28,94,0.17063638754189014
after_r3,4,18,16,1,28,713,0.12709699384868145
after_r3,4,18,16,2,28,57,0.11880757659673691
after_r3,4,18,16,3,28,219,0.15313593111932278
after_r3,4,19,17,1,28,357,0.11113885790109634
after_r3,4,19,17,2,28,767,0.1290610171854496
after_r3,4,19,17,3,28,771,0.11093076877295971
after_r3,4,20,18,1,28,738,0.12441377155482769
after_r3,4,20,18,2,28,779,0.1296152099967003
after_r3,4,20,18,3,28,929,0.1147246453911066
after_r3,4,21,19,1,28,987,0.12140723876655102
after_r3,4,21,19,2,28,955,0.1426294595003128
after_r3,4,21,19,3,28,542,0.10347713343799114
