Stage72 stage68_save_dir=/mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage68-worktree/results/stage68/lora_s68_stage48_dump_seed7_46450782
Stage72 raw_dir=/mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage44/raw_setup1_iq
Stage72 python=/mnt/users/xj62kv/OpenSet_Incremental_SEI/.venv/bin/python
Stage72 running t1234 transmissions=1,2,3,4 strategy=logreg
[053/225] exists: Day3 Device1 IQ_3
[040/225] downloaded: Day2 Device8 IQ_5
[054/225] exists: Day3 Device1 IQ_4
[056/225] exists: Day3 Device2 IQ_1
[057/225] exists: Day3 Device2 IQ_2
[058/225] exists: Day3 Device2 IQ_3
[059/225] exists: Day3 Device2 IQ_4
[050/225] downloaded: Day2 Device11 IQ_5
[061/225] exists: Day3 Device3 IQ_1
[062/225] exists: Day3 Device3 IQ_2
[063/225] exists: Day3 Device3 IQ_3
[064/225] exists: Day3 Device3 IQ_4
[055/225] downloaded: Day3 Device1 IQ_5
[066/225] exists: Day3 Device4 IQ_1
[067/225] exists: Day3 Device4 IQ_2
[068/225] exists: Day3 Device4 IQ_3
[069/225] exists: Day3 Device4 IQ_4
[045/225] downloaded: Day2 Device10 IQ_5
[060/225] downloaded: Day3 Device2 IQ_5
[071/225] exists: Day3 Device5 IQ_1
[072/225] exists: Day3 Device5 IQ_2
[073/225] exists: Day3 Device5 IQ_3
[074/225] exists: Day3 Device5 IQ_4
[076/225] exists: Day3 Device6 IQ_1
[077/225] exists: Day3 Device6 IQ_2
[078/225] exists: Day3 Device6 IQ_3
[079/225] exists: Day3 Device6 IQ_4
[065/225] downloaded: Day3 Device3 IQ_5
[081/225] exists: Day3 Device7 IQ_1
[082/225] exists: Day3 Device7 IQ_2
[083/225] exists: Day3 Device7 IQ_3
[084/225] exists: Day3 Device7 IQ_4
[075/225] downloaded: Day3 Device5 IQ_5
[086/225] exists: Day3 Device8 IQ_1
[087/225] exists: Day3 Device8 IQ_2
[088/225] exists: Day3 Device8 IQ_3
[080/225] downloaded: Day3 Device6 IQ_5
[089/225] exists: Day3 Device8 IQ_4
[091/225] exists: Day3 Device10 IQ_1
[092/225] exists: Day3 Device10 IQ_2
[093/225] exists: Day3 Device10 IQ_3
[094/225] exists: Day3 Device10 IQ_4
[070/225] downloaded: Day3 Device4 IQ_5
[096/225] exists: Day3 Device11 IQ_1
[097/225] exists: Day3 Device11 IQ_2
[098/225] exists: Day3 Device11 IQ_3
[099/225] exists: Day3 Device11 IQ_4
[085/225] downloaded: Day3 Device7 IQ_5
[101/225] exists: Day3 Device12 IQ_1
[102/225] exists: Day3 Device12 IQ_2
[103/225] exists: Day3 Device12 IQ_3
[104/225] exists: Day3 Device12 IQ_4
[090/225] downloaded: Day3 Device8 IQ_5
[106/225] exists: Day3 Device13 IQ_1
[107/225] exists: Day3 Device13 IQ_2
[108/225] exists: Day3 Device13 IQ_3
[109/225] exists: Day3 Device13 IQ_4
[095/225] downloaded: Day3 Device10 IQ_5
[111/225] exists: Day3 Device14 IQ_1
[112/225] exists: Day3 Device14 IQ_2
[113/225] exists: Day3 Device14 IQ_3
[114/225] exists: Day3 Device14 IQ_4
[100/225] downloaded: Day3 Device11 IQ_5
[116/225] exists: Day3 Device15 IQ_1
[117/225] exists: Day3 Device15 IQ_2
[118/225] exists: Day3 Device15 IQ_3
[119/225] exists: Day3 Device15 IQ_4
[105/225] downloaded: Day3 Device12 IQ_5
[121/225] exists: Day3 Device16 IQ_1
[122/225] exists: Day3 Device16 IQ_2
[123/225] exists: Day3 Device16 IQ_3
[124/225] exists: Day3 Device16 IQ_4
[110/225] downloaded: Day3 Device13 IQ_5
[126/225] exists: Day4 Device1 IQ_1
[127/225] exists: Day4 Device1 IQ_2
[128/225] exists: Day4 Device1 IQ_3
[129/225] exists: Day4 Device1 IQ_4
[115/225] downloaded: Day3 Device14 IQ_5
[131/225] exists: Day4 Device2 IQ_1
[132/225] exists: Day4 Device2 IQ_2
[133/225] exists: Day4 Device2 IQ_3
[134/225] exists: Day4 Device2 IQ_4
[120/225] downloaded: Day3 Device15 IQ_5
[136/225] exists: Day4 Device3 IQ_1
[137/225] exists: Day4 Device3 IQ_2
[138/225] exists: Day4 Device3 IQ_3
[139/225] exists: Day4 Device3 IQ_4
[130/225] downloaded: Day4 Device1 IQ_5
[141/225] exists: Day4 Device4 IQ_1
[142/225] exists: Day4 Device4 IQ_2
[143/225] exists: Day4 Device4 IQ_3
[144/225] exists: Day4 Device4 IQ_4
[125/225] downloaded: Day3 Device16 IQ_5
[146/225] exists: Day4 Device5 IQ_1
[147/225] exists: Day4 Device5 IQ_2
[148/225] exists: Day4 Device5 IQ_3
[149/225] exists: Day4 Device5 IQ_4
[135/225] downloaded: Day4 Device2 IQ_5
[151/225] exists: Day4 Device6 IQ_1
[152/225] exists: Day4 Device6 IQ_2
[153/225] exists: Day4 Device6 IQ_3
[154/225] exists: Day4 Device6 IQ_4
[140/225] downloaded: Day4 Device3 IQ_5
[156/225] exists: Day4 Device7 IQ_1
[157/225] exists: Day4 Device7 IQ_2
[158/225] exists: Day4 Device7 IQ_3
[159/225] exists: Day4 Device7 IQ_4
[145/225] downloaded: Day4 Device4 IQ_5
[161/225] exists: Day4 Device8 IQ_1
[162/225] exists: Day4 Device8 IQ_2
[163/225] exists: Day4 Device8 IQ_3
[164/225] exists: Day4 Device8 IQ_4
[155/225] downloaded: Day4 Device6 IQ_5
[166/225] exists: Day4 Device10 IQ_1
[167/225] exists: Day4 Device10 IQ_2
[168/225] exists: Day4 Device10 IQ_3
[169/225] exists: Day4 Device10 IQ_4
[160/225] downloaded: Day4 Device7 IQ_5
[171/225] exists: Day4 Device11 IQ_1
[172/225] exists: Day4 Device11 IQ_2
[150/225] downloaded: Day4 Device5 IQ_5
[173/225] exists: Day4 Device11 IQ_3
[174/225] exists: Day4 Device11 IQ_4
[176/225] exists: Day4 Device12 IQ_1
[177/225] exists: Day4 Device12 IQ_2
[178/225] exists: Day4 Device12 IQ_3
[179/225] exists: Day4 Device12 IQ_4
[165/225] downloaded: Day4 Device8 IQ_5
[181/225] exists: Day4 Device13 IQ_1
[182/225] exists: Day4 Device13 IQ_2
[183/225] exists: Day4 Device13 IQ_3
[184/225] exists: Day4 Device13 IQ_4
[170/225] downloaded: Day4 Device10 IQ_5
[186/225] exists: Day4 Device14 IQ_1
[187/225] exists: Day4 Device14 IQ_2
[188/225] exists: Day4 Device14 IQ_3
[189/225] exists: Day4 Device14 IQ_4
[175/225] downloaded: Day4 Device11 IQ_5
[191/225] exists: Day4 Device15 IQ_1
[192/225] exists: Day4 Device15 IQ_2
[180/225] downloaded: Day4 Device12 IQ_5
[193/225] exists: Day4 Device15 IQ_3
[194/225] exists: Day4 Device15 IQ_4
[196/225] exists: Day4 Device16 IQ_1
[197/225] exists: Day4 Device16 IQ_2
[198/225] exists: Day4 Device16 IQ_3
[199/225] exists: Day4 Device16 IQ_4
[185/225] downloaded: Day4 Device13 IQ_5
[201/225] exists: Day4 Device17 IQ_1
[202/225] exists: Day4 Device17 IQ_2
[203/225] exists: Day4 Device17 IQ_3
[204/225] exists: Day4 Device17 IQ_4
[190/225] downloaded: Day4 Device14 IQ_5
[206/225] exists: Day4 Device18 IQ_1
[207/225] exists: Day4 Device18 IQ_2
[208/225] exists: Day4 Device18 IQ_3
[209/225] exists: Day4 Device18 IQ_4
[195/225] downloaded: Day4 Device15 IQ_5
[211/225] exists: Day4 Device19 IQ_1
[212/225] exists: Day4 Device19 IQ_2
[213/225] exists: Day4 Device19 IQ_3
[214/225] exists: Day4 Device19 IQ_4
[200/225] downloaded: Day4 Device16 IQ_5
[216/225] exists: Day4 Device20 IQ_1
[217/225] exists: Day4 Device20 IQ_2
[218/225] exists: Day4 Device20 IQ_3
[219/225] exists: Day4 Device20 IQ_4
[205/225] downloaded: Day4 Device17 IQ_5
[221/225] exists: Day4 Device21 IQ_1
[222/225] exists: Day4 Device21 IQ_2
[223/225] exists: Day4 Device21 IQ_3
[224/225] exists: Day4 Device21 IQ_4
[210/225] downloaded: Day4 Device18 IQ_5
[215/225] downloaded: Day4 Device19 IQ_5
[220/225] downloaded: Day4 Device20 IQ_5
[225/225] downloaded: Day4 Device21 IQ_5
Saved manifest: /mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage68-worktree/results/stage72/stage72_lora_old_day_logreg_more_download_manifest_t12345_46484861.json
Wrote results/stage72/STAGE72_LORA_OLD_DAY_LOGREG_MORE_CALIBRATION_t12345_SEED7_REPORT_46484861.md
